feature,mean_abs_shap
V4,0.5311442871179886
V14,0.36118224809069777
anomaly_score,0.27795650028698926
V12,0.2535428152158963
V8,0.24849127561415274
V1,0.18001089477168505
V19,0.1727359983735488
V18,0.1725662368461474
V17,0.15716839356765683
V22,0.15411995271388923
V3,0.1486725392558708
Amount,0.13103388425207854
V10,0.13080073715714743
V20,0.12560115077287817
V11,0.12481810594696793
V9,0.12370761964248207
V13,0.11834085205525233
V7,0.11497263910178732
V15,0.11472430368939349
Time,0.11240112636477521
V2,0.10571688143942179
V24,0.09874117684799835
V28,0.09390124989160688
V25,0.08577221450142417
V5,0.08246398997398594
V6,0.07941532610805045
V16,0.07864943468814083
V27,0.0765617848341211
V23,0.07637507815669191
V26,0.07192661033665385
V21,0.06996124450582182
