feature,LGBM_Calibrated_Isotonic,XGB_Calibrated_Isotonic,XGB_Calibrated_Sigmoid,LGBM_Optimized_F2,avg_importance
V14,0.3690197882773144,1.7742165,1.8128139,0.36118224809069777,1.0793081117836534
V4,0.5431619061315379,1.0981472,1.108693,0.5311442871179886,0.8202865876895942
anomaly_score,0.28501073256996473,1.0665877,1.1324375,0.27795650028698926,0.6904980967426808
V12,0.23045740999444167,0.5823637,0.5727236,0.2535428152158963,0.4097718942523373
V8,0.2497977015007161,0.3585397,0.34278712,0.24849127561415274,0.2999039485972406
V3,0.1459764666890767,0.45352626,0.44157594,0.1486725392558708,0.29743780220931276
V10,0.1412257955283829,0.40732825,0.37838927,0.13080073715714743,0.2644360124557644
V1,0.1723952552202826,0.25117767,0.24546127,0.18001089477168505,0.21226127219414173
V11,0.13599047903376718,0.28080088,0.271962,0.12481810594696793,0.20339286275023444
V18,0.1626296143018737,0.23096488,0.22306755,0.1725662368461474,0.1973070717903107
V19,0.177785782455146,0.17583011,0.17365341,0.1727359983735488,0.1750013251553129
V17,0.14654153480627327,0.16631545,0.17150442,0.15716839356765683,0.16038245066514545
Amount,0.12320088735292034,0.19127706,0.18846785,0.13103388425207854,0.15849491846453745
V7,0.12462727377079451,0.17844233,0.1713732,0.11497263910178732,0.1473538613594247
V20,0.13005019605362714,0.16761889,0.16433059,0.12560115077287817,0.14690020481346835
Time,0.10323366541220101,0.17667228,0.17570968,0.11240112636477521,0.14200418783362737
V22,0.17258197741124393,0.10927117,0.10853845,0.15411995271388923,0.13612788691112795
V15,0.10484929021494252,0.14025506,0.14791934,0.11472430368939349,0.12693699989958596
V9,0.11960985405737781,0.12313955,0.124213986,0.12370761964248207,0.12266775314266783
V27,0.08042790348841639,0.1625499,0.15469107,0.0765617848341211,0.1185576641672833
V13,0.1048959690648708,0.113376305,0.11249067,0.11834085205525233,0.11227594863005977
V25,0.08397050661534727,0.14100772,0.13005064,0.08577221450142417,0.11020027170485014
V26,0.06937848763244193,0.1452975,0.14643979,0.07192661033665385,0.10826059655142845
V16,0.08071919045209036,0.12858507,0.13608325,0.07864943468814083,0.10600923519731595
V28,0.09447521495193718,0.11190562,0.11213712,0.09390124989160688,0.10310480020935155
V6,0.07990595587246,0.11944191,0.120314315,0.07941532610805045,0.09976937713003056
V2,0.10948882785668365,0.09095244,0.08762595,0.10571688143942179,0.09844602524182156
V24,0.09957104480303423,0.07901729,0.07744439,0.09874117684799835,0.08869347502409294
V21,0.07502234586445929,0.09431201,0.09516604,0.06996124450582182,0.0836154112532396
V23,0.0684516033757967,0.070872426,0.07650201,0.07637507815669191,0.07305027944793958
V5,0.08248170993130256,0.060076267,0.058301218,0.08246398997398594,0.07083079607162185
